,Fund_Symbol
0,AMTYX
1,AMTOX
2,AMTTX
3,AMTAX
4,ACMTX
5,AMTIX
6,AMTKX
7,AMTRX
8,AMTZX
9,ABNYX
10,ABNOX
11,ABNTX
12,ABNAX
13,ABNCX
14,ANBIX
15,ABNKX
16,ABNRX
17,ABNZX
18,HIYYX
19,HIAYX
20,HIZYX
21,ACGYX
22,AKGAX
23,AKGCX
24,ACGZX
25,ALHYX
26,ALHAX
27,ALHCX
28,ALIHX
29,ALHKX
30,ALHRX
31,AUNYX
32,AUNOX
33,AUNTX
34,AUNAX
35,AUNCX
36,SHUYX
37,SHUAX
38,SHUCX
39,STHYX
40,STHAX
41,ATTYX
42,ATTAX
43,ATCCX
44,ABQYX
45,ABQUX
46,ABQCX
47,ABQIX
48,ABQKX
49,ABQRX
50,ABQZX
51,ACEYX
52,ACEAX
53,MRKYX
54,MRKAX
55,MRKCX
56,WPSGX
57,WPASX
58,WPCSX
59,WPSIX
60,WPSKX
61,WPRSX
62,WPSZX
63,CIGYX
64,CIAGX
65,CICGX
66,ABYEX
67,ABAEX
68,ABCEX
69,ABIEX
70,ABKEX
71,ABREX
72,ABZEX
73,GCEYX
74,GCEAX
75,GCECX
76,ISRYX
77,ISARX
78,ISCRX
79,ISZRX
80,AUUYX
81,AUUAX
82,AUUCX
83,AUUIX
84,AUUKX
85,AUURX
86,ASYLX
87,ASLAX
88,ASCLX
89,ASILX
90,ASLKX
91,ASRLX
92,QUAYX
93,QUASX
94,QUACX
95,QUAIX
96,QUAKX
97,QUARX
98,QUAZX
99,SCYVX
100,SCAVX
101,SCCVX
102,FFTYX
103,ADGYX
104,ADGAX
105,ADGCX
106,ADGIX
107,ADGKX
108,ADGRX
109,ADGZX
110,ACISX
111,ABIMX
112,MISHX
113,CSHTX
114,CHCLX
115,CHCYX
116,CHCCX
117,CHCIX
118,CHCKX
119,CHCRX
120,CHCZX
121,AUIYX
122,AUIAX
123,AUICX
124,AUIIX
125,AUIKX
126,AUIRX
127,AUIZX
128,AEYXX
129,AGRXX
130,AEAXX
131,MYMXX
132,AECXX
133,AIEXX
134,AEKXX
135,GMOXX
136,GMNXX
137,GMPXX
138,GMSXX
139,ANAYX
140,ANAGX
141,ANACX
142,ANAIX
143,ANAKX
144,ANARX
145,ANAZX
146,ARSYX
147,AREAX
148,ARECX
149,AEEIX
150,ARRKX
151,ARRRX
152,CBSYX
153,CABNX
154,CBACX
155,CABIX
156,CBSKX
157,CBSRX
158,AGDYX
159,AGDAX
160,AGDCX
161,AGDIX
162,AGDKX
163,AGDRX
164,AGDZX
165,ARIIX
166,APGYX
167,APGAX
168,APGCX
169,ALLIX
170,ALCKX
171,ABPRX
172,APGZX
173,AAZYX
174,AAZAX
175,AAZCX
176,AMAYX
177,AMAAX
178,AMACX
179,AMNAX
180,AMNCX
181,ANJAX
182,ANJCX
183,AOHAX
184,AOHCX
185,APAAX
186,APACX
187,AVAYX
188,AVAAX
189,AVACX
190,ALCVX
191,ALCAX
192,ACACX
193,ABTYX
194,ABTHX
195,ABTFX
196,ABTZX
197,ALTVX
198,ALTHX
199,ALNCX
200,ALNVX
201,ALNYX
202,ANYCX
203,ABWYX
204,ABWAX
205,ABWCX
206,ABWIX
207,ABWKX
208,ABWRX
209,ABPYX
210,ABPAX
211,ABPCX
212,APWIX
213,APWKX
214,APPRX
215,AGRYX
216,AGRFX
217,AGRCX
218,AGFIX
219,AGFKX
220,AGFRX
221,AGIYX
222,AGIAX
223,AGICX
224,ATWYX
225,ATWAX
226,ATWCX
227,AWAYX
228,AWAAX
229,AWACX
230,AWAKX
231,AWARX
232,CBBYX
233,CABDX
234,CBBCX
235,CBBIX
236,CBBKX
237,CBBRX
238,CBBZX
239,ATEYX
240,ALTFX
241,ATECX
242,AGTIX
243,ATEKX
244,ATERX
245,ATEZX
246,AWPYX
247,AWPAX
248,AWPCX
249,AWPIX
250,AWPKX
251,AWPRX
252,AWPZX
253,ABYSX
254,ABASX
255,ABCSX
256,ABSIX
257,ABSKX
258,ABSRX
259,ABSZX
260,ABIYX
261,ABIAX
262,ABICX
263,AIVIX
264,AIVKX
265,AIVRX
266,ABVYX
267,ABVAX
268,ABVCX
269,ABVIX
270,ABVKX
271,ABVRX
272,FAX
273,IAF
274,AEF
275,GOPAX
276,GOPCX
277,GOPIX
278,GOPRX
279,GOPSX
280,ADAVX
281,ADVDX
282,AKFAX
283,AKFCX
284,AKFRX
285,AKFIX
286,AKFSX
287,GEGAX
288,GEGCX
289,GEMRX
290,ABEMX
291,AEMSX
292,GIGAX
293,GIGCX
294,GIRRX
295,GIGIX
296,GIGSX
297,CUGAX
298,CGBCX
299,AGCIX
300,CGFIX
301,GLLAX
302,GLLCX
303,GWLRX
304,GWLIX
305,GLLSX
306,AIAFX
307,AIFRX
308,NTFAX
309,GTICX
310,ABEIX
311,ABESX
312,EGALX
313,EGLRX
314,WVCCX
315,CPVCX
316,WPVAX
317,ABNIX
318,AIAGX
319,AIGYX
320,AAHMX
321,ACHMX
322,AHYMX
323,ATOAX
324,ATOBX
325,ATOIX
326,GSXAX
327,GSXCX
328,GNSRX
329,GSXIX
330,GSCIX
331,GXXAX
332,GXXCX
333,GGLIX
334,GXXIX
335,MLSAX
336,MLSCX
337,GLSRX
338,GGUIX
339,AELSX
340,AGD
341,FCO
342,AWP
343,ACP
344,JETAX
345,JETIX
346,BJBHX
347,JHYIX
348,BJBIX
349,JIEIX
350,JEQ
351,ASGI
352,SGOL
353,PALL
354,PPLT
355,GLTR
356,SIVR
357,AOD
358,BCD
359,BCI
360,BCIM
361,WBII
362,WBIL
363,WBIT
364,WBIF
365,WBIG
366,WBIY
367,N/A
368,CFCV
369,ADX
370,PEO
371,ADKSX
372,DRAKX
373,DRASX
374,AVK
375,IFPUX
376,RCTIX
377,STFBX
378,STFGX
379,SFITX
380,SFBDX
381,VTUIX
382,KAMAX
383,KAMCX
384,KAMIX
385,CLFLX
386,FLEIX
387,CLACX
388,GLAGX
389,CLSAX
390,GDIVX
391,CLERX
392,GINCX
393,CLSHX
394,SHELX
395,DECMX
396,DECIX
397,QGLCX
398,QGLDX
399,HFSAX
400,SFHYX
401,KAGAX
402,KAGCX
403,KAGIX
404,OTRGX
405,OTRFX
406,QALAX
407,QALTX
408,QCGDX
409,QEVOX
410,QGITX
411,QBDAX
412,QBDSX
413,QMLAX
414,QMLFX
415,QSPMX
416,QRDTX
417,QSTAX
418,QSTFX
419,QFITX
420,QTSSX
421,SAPEX
422,SVARX
423,SUNBX
424,AADGX
425,ATAFX
426,CIAOX
427,CHASX
428,CHAIX
429,DFMAX
430,DFMIX
431,LOMAX
432,FLIAX
433,FLIIX
434,FPCGX
435,HUDEX
436,HUDIX
437,HUMEX
438,HUMDX
439,HULEX
440,HULIX
441,HUSEX
442,HUSIX
443,LGNGX
444,LGNHX
445,OFVIX
446,PBBBX
447,PIAMX
448,PHYSX
449,PMTGX
450,PIASX
451,IPFCX
452,PFPFX
453,IPFPX
454,PZIEX
455,PZVEX
456,PZIIX
457,PZVIX
458,PZINX
459,PZVNX
460,PZIMX
461,PZVMX
462,PZISX
463,PZVSX
464,HEDJX
465,LOGIX
466,LOGRX
467,WRLDX
468,LOGOX
469,LOGBX
470,SEMBX
471,SEMOX
472,SEMMX
473,SEMPX
474,SEMIX
475,SEMRX
476,SFHFX
477,SFHIX
478,SCFAX
479,SCFCX
480,SCFFX
481,SCFIX
482,CCMSX
483,CIPDX
484,CIPQX
485,CIPMX
486,CIPIX
487,CIPSX
488,CIPNX
489,KGGAX
490,KGGIX
491,KGIIX
492,KGIRX
493,RSRFX
494,RQSGX
495,RQSRX
496,SPRDX
497,SPRNX
498,SPRVX
499,WDIVX
500,WCDGX
501,ADSRX
502,ADISX
503,APEEX
504,ATOMX
505,AFOEX
506,AFORX
507,ANWRX
508,ANWOX
509,ARMIX
510,ARVIX
511,THMEX
512,DMCY
513,DEMZ
514,FFBAX
515,FFBYX
516,FBBAX
517,FBBYX
518,CCPAX
519,CCPCX
520,CCAPX
521,CSAMX
522,CSCMX
523,CSMOX
524,GQGRX
525,GQGIX
526,GQGPX
527,GQFIX
528,GQFPX
529,GQRRX
530,GQRIX
531,GQRPX
532,GQJIX
533,GQJPX
534,GQHIX
535,GQHPX
536,GQERX
537,GQEIX
538,GQEPX
539,KBIWX
540,KCCIX
541,KCCSX
542,KCIIX
543,KCISX
544,KCGIX
545,KCGSX
546,KCVIX
547,KCVSX
548,KCLIX
549,KCLSX
550,KCEIX
551,KCRIX
552,KCSIX
553,KCSSX
554,KCXIX
555,LLDWX
556,MFBIX
557,MFBVX
558,MSVIX
559,MSVVX
560,MFHIX
561,MFHVX
562,LPCIX
563,LPCYX
564,NPSGX
565,ZEMAX
566,ZEMIX
567,ZGEIX
568,ZGFAX
569,ZGFIX
570,ZIFIX
571,PMEFX
572,PMUBX
573,PDAIX
574,PDAVX
575,RAYC
576,RWCIX
577,RWCEX
578,SSSIX
579,SSSFX
580,SSEIX
581,SSEFX
582,AEMZX
583,AEMVX
584,AEMGX
585,CAMAX
586,CAMGX
587,CAMYX
588,CAMIX
589,CAMFX
590,CAMWX
591,CAMOX
592,CAMZX
593,CAMSX
594,CAMUX
595,CAMMX
596,AWGIX
597,AWEIX
598,AWYIX
599,AWIIX
600,AWWIX
601,AWMIX
602,EGFIX
603,EGFFX
604,HHDFX
605,HHDVX
606,HXIAX
607,HXIIX
608,HAVGX
609,LSVVX
610,LVAVX
611,LSVZX
612,LVAZX
613,LSVFX
614,LVAFX
615,LSVGX
616,LVAGX
617,LSVQX
618,LVAQX
619,LSVMX
620,LVAMX
621,LSVEX
622,LVAEX
623,MKIEX
624,RHJSX
625,RHJMX
626,SCMGX
627,SCGVX
628,SRFMX
629,TSWEX
630,WMNAX
631,WWACX
632,WMNIX
633,WMNUX
634,WSDAX
635,WWHCX
636,WHGHX
637,WWIAX
638,WWICX
639,WHGIX
640,WWLAX
641,WWLCX
642,WHGLX
643,WHGAX
644,WHGCX
645,WHGSX
646,WWSYX
647,WHGMX
648,WWSMX
649,WWTAX
650,WTOCX
651,WLVIX
652,SENT
653,AADR
654,DWEQ
655,DWAW
656,DWUS
657,DWMC
658,DWSH
659,DBLV
660,CWS
661,FWDB
662,GK
663,BEDZ
664,MINC
665,PSIL
666,YOLO
667,MSOS
668,QPX
669,QPT
670,HDGE
671,EATZ
672,HOLD
673,VEGA
674,VICE
675,AVALX
676,AGQIX
677,AGQRX
678,AGPIX
679,AGPRX
680,GLIF
681,DIVA
682,BTAL
683,VAFAX
684,VAFCX
685,VAFRX
686,VAFNX
687,VAFFX
688,VAFIX
689,OPTFX
690,OTFCX
691,OTCNX
692,CPTUX
693,OPTIX
694,OTCYX
695,ACPSX
696,CPCFX
697,CPBRX
698,CPIIX
699,CPBFX
700,CPBYX
701,OPOCX
702,ODICX
703,ODINX
704,DIGGX
705,ODIIX
706,ODIYX
707,VADAX
708,VADCX
709,VADRX
710,VADFX
711,VADDX
712,ACEIX
713,ACERX
714,ACESX
715,ACEKX
716,IEIFX
717,ACETX
718,AFRAX
719,AFRCX
720,AFRRX
721,AFRIX
722,AFRFX
723,AFRYX
724,ASRIX
725,ASRAX
726,ASRCX
727,ASRFX
728,ASRYX
729,ACGIX
730,ACGKX
731,ACGLX
732,ACGQX
733,GIFFX
734,ACGMX
735,SCAUX
736,SCCUX
737,SCRUX
738,SCIUX
739,SLESX
740,SCAYX
741,SCNUX
742,IVNQX
743,SPIAX
744,SPICX
745,SPISX
746,SPIDX
747,OOSAX
748,OOSCX
749,OOSNX
750,SFRRX
751,OOSIX
752,OOSYX
753,ISHAX
754,ISHCX
755,ISHFX
756,ISHSX
757,ISHYX
758,ORSTX
759,ORSCX
760,STMUX
761,ORSYX
762,CHTRX
763,CHTCX
764,CHRRX
765,CHTVX
766,CHFTX
767,CHRSX
768,CHTYX
769,LCEAX
770,LCEVX
771,DDFRX
772,DDFIX
773,LCEFX
774,LCEYX
775,LCEIX
776,OMSOX
777,OMSCX
778,OMSNX
779,MSAZX
780,IOAPX
781,OMSYX
782,MSIGX
783,MIGCX
784,OMGNX
785,MSJFX
786,OMSIX
787,MIGYX
788,OARDX
789,OCRDX
790,ONRDX
791,RSDQX
792,OIRDX
793,OYRDX
794,ASMMX
795,CSMMX
796,SMMIX
797,SMITX
798,SMISX
799,SMMSX
800,ASMYX
801,SIXO
802,AZAA
803,AZAJ
804,AZAL
805,AZAO
806,AZBA
807,AZBJ
808,AZBL
809,AZBO
810,ESMAX
811,ESMCX
812,ESMSX
813,ESMYX
814,AWSAX
815,AWSCX
816,AWSRX
817,AWSIX
818,AWSSX
819,AWSYX
